county,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
Randall,32237,32027,4876,3774,1722,5663,5688,4994,5310,210
Reagan,1231,1231,172,156,24,298,253,205,123,0
Real,877,863,160,70,39,200,23,224,147,14
Red River,2441,2441,405,133,72,363,579,422,467,0
Reeves,3435,3429,614,286,132,577,665,560,595,6
Refugio,1656,1656,270,155,99,192,283,357,300,0
Roberts,217,217,18,10,20,25,47,37,60,0
Robertson,4041,4041,568,533,162,735,739,633,671,0
Rockwall,26392,26392,3760,2240,1333,4257,4850,4996,4956,0
Runnels,2396,2396,335,232,89,533,416,329,462,0
Rusk,12149,12149,1793,1297,705,2033,2180,2047,2094,0
Sabine,1963,1963,388,103,81,232,260,523,376,0
San Augustine,1642,1642,213,205,119,108,250,422,325,0
San Jacinto,6238,6238,756,699,602,621,1239,1333,988,0
San Patricio,18102,18086,2805,2056,1011,2686,3350,3094,3084,16
San Saba,1244,1196,177,133,47,205,213,201,220,48
Schleicher,789,789,99,118,29,133,152,132,126,0
Scurry,4299,4299,794,349,237,601,922,752,644,0
Shackelford,772,764,131,73,90,120,37,152,161,8
Shelby,6653,6653,997,810,276,1146,1134,1155,1135,0
Sherman,690,690,121,53,16,89,123,132,156,0
Smith,56012,55828,8827,6695,3460,9359,8600,9603,9284,184
Somervell,1997,1945,325,123,106,240,356,496,299,52
Starr,21154,21149,3684,2661,1361,3545,3204,3276,3418,5
Stephens,2119,2119,333,148,168,354,389,383,344,0
Sterling,424,424,36,41,16,84,94,44,109,0
Stonewall,398,398,30,94,18,22,54,106,74,0
Sutton,1009,1008,204,126,46,141,191,183,117,1
Swisher,1875,1875,257,196,89,283,344,329,377,0
Tarrant,543644,543073,86006,58529,30522,89234,94318,93291,91173,571
Taylor,33882,33696,5764,4293,2131,5289,5655,5418,5146,186
Terrell,135,135,4,22,14,39,32,2,22,0
Terry,3450,3450,609,430,173,715,508,484,531,0
Throckmorton,230,230,36,41,9,40,24,29,51,0
Titus,9433,9433,1572,947,448,1581,1879,1445,1561,0
Tom Green,28036,27942,4206,3814,1329,4366,5060,4929,4238,94
Travis,269975,269475,46949,31309,14649,45176,46135,43472,41785,500
Trinity,2988,2987,428,301,230,577,495,480,476,1
Tyler,4162,4127,740,276,132,670,822,682,805,35
Upshur,9814,9811,1445,925,429,1830,1722,1747,1713,3
Upton,958,958,141,118,18,143,73,268,197,0
Uvalde,7297,7297,1226,750,268,1139,934,1684,1296,0
Val Verde,13944,13944,2394,1738,600,1815,2661,2413,2323,0
Van Zandt,12773,12737,1728,1401,603,2184,2268,2152,2401,36
Victoria,23484,23347,3789,2694,1005,4184,4079,3770,3826,137
Walker,10801,10631,1809,1256,757,1690,1609,2017,1493,170
Waller,12531,12484,1764,1619,864,2189,2187,1975,1886,47
Ward,3222,3207,558,293,71,624,596,507,558,15
Washington,7701,7559,1070,1041,367,1102,1409,1302,1268,142
Webb,90913,90852,15843,10237,4566,14478,15334,15458,14936,61
Wharton,10802,10802,1745,1091,586,1383,1772,2357,1868,0
Wheeler,1369,1369,182,178,83,292,261,174,199,0
Wichita,29430,29282,4933,3594,1437,5314,4822,4829,4353,148
Wilbarger,2876,2826,365,336,112,587,534,415,477,50
Willacy,5194,5194,837,551,249,852,940,926,839,0
Williamson,142323,142015,20536,15535,6827,24312,25468,25133,24204,308
Wilson,12049,12049,1842,1100,453,2091,1785,2391,2387,0
Winkler,2352,2352,379,243,217,435,363,320,395,0
Wise,16461,16461,2394,1836,935,2457,2552,3326,2961,0
Wood,8615,8615,1198,947,503,1539,1266,1601,1561,0
Yoakum,2851,2851,408,382,158,665,330,454,454,0
Young,4376,4376,541,519,259,630,804,881,742,0
Zapata,4796,4796,711,617,262,1026,906,546,728,0
Zavala,3556,3556,490,400,189,828,298,790,561,0
