zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
77597,401,401,56,0,20,76,75,93,81,0
77598,5614,5614,1511,587,235,845,988,714,734,0
77611,2227,2227,369,234,215,384,200,433,392,0
77612,2173,2173,209,308,15,509,319,381,432,0
77613,212,211,6,13,5,63,69,38,17,1
77614,35,35,0,0,0,0,0,0,35,0
77615,312,312,27,0,45,62,49,73,56,0
77616,56,56,34,0,0,0,0,0,22,0
77617,0,0,0,0,0,0,0,0,0,0
77619,3916,3916,448,596,362,496,871,402,741,0
77622,371,371,51,30,16,73,90,72,39,0
77623,100,100,20,0,0,12,44,24,0,0
77624,89,89,0,0,0,2,29,33,25,0
77625,2223,2217,363,388,302,138,306,213,507,6
77627,5318,5317,730,849,248,712,821,693,1264,1
77629,141,141,6,18,0,21,39,36,21,0
77630,7318,7299,1264,602,355,1385,1193,1176,1324,19
77632,5403,5392,1197,456,422,736,764,942,875,11
77640,3705,3680,511,364,301,814,599,577,514,25
77642,11230,11211,1507,1434,429,2049,2131,2071,1590,19
77650,286,286,141,0,33,64,15,33,0,0
77651,3050,3050,260,301,112,519,631,596,631,0
77655,0,0,0,0,0,0,0,0,0,0
77656,3830,3830,482,471,224,689,692,693,579,0
77657,5433,5433,999,594,141,1151,919,945,684,0
77659,1788,1788,193,72,101,467,389,249,317,0
77660,257,257,60,27,11,55,41,23,40,0
77661,234,234,96,0,10,0,58,28,42,0
77662,6296,6287,901,878,169,999,1085,1209,1046,9
77663,217,217,15,90,0,112,0,0,0,0
77664,681,681,171,11,19,22,117,162,179,0
77665,1324,1323,261,149,99,168,213,227,206,1
77701,3685,3665,582,450,173,640,721,605,494,20
77702,923,923,180,158,0,307,105,61,112,0
77703,4339,4308,831,411,457,882,629,503,595,31
77705,6121,5881,1170,661,252,928,840,1030,1000,240
77706,6903,6862,1276,1039,560,1010,1022,912,1043,41
77707,4682,4675,819,552,352,808,827,547,770,7
77708,3267,3265,654,607,224,604,459,466,251,2
77713,2686,2683,622,287,131,500,372,467,304,3
77801,3390,3390,653,348,188,482,719,471,529,0
77802,5232,5232,918,617,271,636,888,924,978,0
77803,9998,9952,1863,1096,471,1465,2170,1485,1402,46
77807,2968,2968,580,320,231,502,379,607,349,0
77808,2701,2652,590,330,180,350,334,368,500,49
77830,823,823,79,75,24,183,274,71,117,0
77831,713,713,60,140,0,53,176,171,113,0
77833,6328,6186,921,932,290,925,1206,930,982,142
77835,397,397,55,54,0,72,66,99,51,0
77836,2800,2800,422,299,169,527,316,511,556,0
77837,408,408,81,9,10,37,67,69,135,0
77840,5453,5382,1409,934,233,837,626,451,892,71
77845,16139,16130,2266,1804,906,2711,2990,3075,2378,9
77853,117,117,10,6,13,17,15,20,36,0
77855,138,138,25,0,0,68,45,0,0,0
77856,1258,1258,117,75,68,175,336,237,250,0
77857,168,168,2,26,19,25,28,27,41,0
77859,1741,1741,310,340,22,363,292,213,201,0
77861,410,410,10,14,9,62,87,122,106,0
77864,2206,2206,340,275,85,259,406,356,485,0
77865,524,524,160,56,0,45,13,72,178,0
77867,18,18,6,0,2,0,3,7,0,0
77868,4005,4005,605,427,210,795,680,667,621,0
77871,345,345,24,75,43,35,67,58,43,0
77872,439,439,79,41,24,73,68,64,90,0
77873,239,239,33,5,0,39,66,39,57,0
77876,29,29,0,0,0,12,0,0,17,0
77878,37,37,0,9,14,14,0,0,0,0
77879,1184,1184,278,71,32,165,184,259,195,0
77880,555,555,102,55,42,82,123,151,0,0
77901,11164,11128,1900,1260,403,2148,1981,1904,1532,36
77904,7143,7106,1183,934,429,965,1206,1110,1279,37
77905,3593,3529,485,406,62,624,607,578,767,64
77950,18,18,0,3,6,9,0,0,0,0
77951,346,346,0,14,28,119,119,9,57,0
77954,2374,2374,306,504,136,337,372,274,445,0
77957,2189,2189,358,260,97,284,416,480,294,0
77960,0,0,0,0,0,0,0,0,0,0
77961,0,0,0,0,0,0,0,0,0,0
77962,966,966,95,180,36,139,148,234,134,0
77963,1486,1477,148,131,105,256,270,318,249,9
77964,2087,2087,201,348,135,469,346,284,304,0
77968,864,864,137,83,38,251,150,141,64,0
77969,31,31,0,0,0,0,0,16,15,0
77970,73,73,3,19,4,7,17,12,11,0
77971,248,248,16,0,15,54,58,58,47,0
77973,0,0,0,0,0,0,0,0,0,0
77974,61,61,7,5,3,0,2,2,42,0
77975,347,347,46,32,27,77,51,64,50,0
77976,7,7,0,0,0,0,0,0,7,0
77977,99,99,25,5,8,16,23,0,22,0
77978,157,157,48,15,10,34,15,24,11,0
77979,4488,4487,719,401,279,627,741,940,780,1
77982,177,176,50,24,0,14,24,16,48,1
77983,533,533,159,30,50,105,92,35,62,0
77984,908,908,131,56,52,171,110,204,184,0
77987,50,50,8,11,4,6,10,0,11,0
77988,228,228,34,0,34,54,0,32,74,0
77990,160,160,40,37,0,18,8,38,19,0
77991,247,247,35,44,14,32,14,36,72,0
77993,17,17,0,0,0,0,0,0,17,0
77994,70,70,9,2,0,18,17,7,17,0
77995,2788,2765,419,237,154,591,542,451,371,23
78001,0,0,0,0,0,0,0,0,0,0
78002,2004,2004,335,182,43,398,388,226,432,0
78003,1529,1529,221,187,52,230,291,243,305,0
78004,155,155,43,0,0,21,58,33,0,0
78005,89,89,0,0,0,89,0,0,0,0
78006,8457,8439,1272,765,457,1098,1542,1876,1429,18
78007,59,59,0,26,0,4,0,22,7,0
78008,32,32,0,0,0,0,32,0,0,0
78009,2074,2074,435,121,109,276,354,345,434,0
78010,749,730,210,92,16,133,48,131,100,19
78011,440,440,62,42,31,78,75,89,63,0
78012,62,62,7,12,0,12,11,17,3,0
78013,1376,1376,151,128,28,184,275,252,358,0
78014,1243,1243,186,40,0,325,134,273,285,0
78015,4260,4260,366,285,279,847,918,636,929,0
78016,2930,2930,360,476,189,470,543,367,525,0
78017,1725,1120,237,252,50,149,80,178,174,605
78019,205,205,7,19,0,50,35,65,29,0
78021,71,71,36,35,0,0,0,0,0,0
78022,873,873,140,92,58,175,120,138,150,0
78023,8281,8281,980,750,458,1258,1460,1734,1641,0
78024,146,146,68,17,12,5,0,18,26,0
78025,1033,922,165,96,20,202,130,118,191,111
78026,1890,1887,365,109,147,214,214,428,410,3
78027,78,78,0,0,0,0,13,35,30,0
78028,7596,7576,1182,747,362,1139,1152,1581,1413,20
78029,0,0,0,0,0,0,0,0,0,0
78039,270,270,24,36,21,43,36,61,49,0
78040,13934,13932,2854,1752,668,2151,2122,2202,2183,2
78041,13343,13299,2369,1643,819,2149,2141,1967,2211,44
78043,14737,14737,2446,2346,711,2472,2338,1970,2454,0
78044,129,129,27,15,11,23,0,23,30,0
78045,21172,21172,3572,1721,1131,3307,3595,4176,3670,0
78046,27281,27266,4514,2738,1226,4314,5085,5067,4322,15
78050,181,181,50,19,12,21,36,43,0,0
78052,1500,1500,135,140,48,185,282,464,246,0
78055,420,420,49,17,6,92,56,109,91,0
78056,431,431,68,46,58,98,86,75,0,0
78057,0,0,0,0,0,0,0,0,0,0
78058,126,97,31,0,0,13,26,14,13,29
78059,1106,1106,156,91,20,137,125,270,307,0
78060,0,0,0,0,0,0,0,0,0,0
78061,3005,3005,456,281,218,642,411,413,584,0
78063,1724,1724,274,189,0,337,347,280,297,0
78064,4745,4745,1051,478,280,813,873,601,649,0
78065,2865,2865,327,242,149,583,575,466,523,0
78066,209,209,28,115,20,21,25,0,0,0
78067,193,193,16,10,0,45,61,0,61,0
78069,1831,1831,413,166,93,133,277,349,400,0
78070,2594,2594,370,150,134,220,463,640,617,0
78071,862,862,71,169,22,133,253,108,106,0
78072,165,165,15,23,11,26,52,29,9,0
78073,2463,2463,436,208,102,209,418,512,578,0
78075,45,45,0,0,0,0,13,0,32,0
78076,4333,4333,695,568,182,907,768,546,667,0
78101,1245,1245,113,92,136,179,134,354,237,0
78102,5909,5903,1043,722,265,1005,1002,1040,826,6
78104,20,20,0,4,0,7,0,0,9,0
78107,0,0,0,0,0,0,0,0,0,0
78108,11538,11538,1351,1309,918,1969,1781,1930,2280,0
78109,12284,12265,1860,1444,633,2236,2114,2007,1971,19
78112,2408,2408,532,195,133,383,418,453,294,0
78113,989,989,155,190,42,194,166,113,129,0
78114,5904,5904,807,417,257,1126,913,1216,1168,0
78116,54,54,0,0,0,0,36,8,10,0
78117,12,12,7,0,0,0,0,0,5,0
78118,972,764,106,42,50,158,150,113,145,208
78119,1227,1227,199,170,33,251,97,293,184,0
78121,3430,3430,609,428,85,593,487,568,660,0
78122,35,35,0,10,0,25,0,0,0,0
78123,410,409,66,39,0,76,68,117,43,1
78124,1352,1340,104,133,33,234,315,262,259,12
78125,3,3,0,0,0,0,3,0,0,0
78130,19051,19041,3068,2697,1019,2933,3135,3258,2931,10
78132,7723,7709,1175,782,271,1267,1264,1435,1515,14
78133,3462,3452,582,378,100,386,523,741,742,10
78140,1068,1068,172,87,72,164,139,211,223,0
78141,86,86,14,3,0,8,24,19,18,0
78142,37,37,3,0,0,12,2,0,20,0
78143,42,42,17,0,0,0,1,14,10,0
78144,0,0,0,0,0,0,0,0,0,0
78145,33,33,10,0,0,8,12,0,3,0
78146,175,118,14,9,0,17,14,22,42,57
78147,532,532,121,74,27,85,70,99,56,0
78148,5961,5961,1080,596,201,1280,1118,903,783,0
78150,0,0,0,0,0,0,0,0,0,0
78151,467,467,139,34,11,55,105,41,82,0
78152,581,581,118,65,19,66,109,80,124,0
78154,10766,10758,1684,1079,506,1751,1766,2119,1853,8
78155,11485,11463,1771,1287,711,2359,1883,1678,1774,22
78159,343,343,129,15,0,35,65,49,50,0
78160,1348,1348,218,124,55,218,189,245,299,0
78161,72,72,0,0,0,0,34,38,0,0
78162,74,74,0,39,0,0,0,14,21,0
78163,3319,3285,213,119,151,316,958,847,681,34
78164,754,754,77,127,76,119,148,85,122,0
78201,10885,10885,1851,968,443,1988,1809,1714,2112,0
78202,2932,2907,447,206,154,743,457,399,501,25
78203,1736,1736,171,135,144,304,303,480,199,0
78204,2351,2331,420,339,107,370,393,307,395,20
78205,92,92,12,0,0,0,67,13,0,0
78207,15484,15459,2927,1791,906,2645,2714,2453,2023,25
78208,1506,1506,265,190,95,236,267,227,226,0
78209,9443,9439,1553,1050,376,1362,1553,1868,1677,4
78210,9349,9155,1524,1167,656,1485,1559,1369,1395,194
78211,8346,8346,1166,809,437,1462,1498,1441,1533,0
78212,4251,4227,642,431,222,694,736,766,736,24
78213,10177,10176,1759,1480,620,1550,1487,1656,1624,1
78214,8213,8154,1471,665,415,1428,1084,1276,1815,59
78215,140,133,124,0,9,0,0,0,0,7
78216,9669,9668,1782,1303,494,1901,1392,1114,1682,1
78217,7941,7941,1595,1076,424,1141,993,1244,1468,0
78218,9307,9305,1610,1441,558,1322,1466,1496,1412,2
78219,4998,4998,996,457,250,804,856,858,777,0
78220,4723,4716,495,597,156,761,824,943,940,7
78221,11129,11128,1781,1257,621,2061,1713,1786,1909,1
78222,7509,7509,1106,909,313,962,1365,1589,1265,0
78223,15260,15113,2650,1505,750,2975,2521,2340,2372,147
78224,6742,6709,1055,711,240,1065,1421,1203,1014,33
78225,4192,4192,649,415,249,483,736,1144,516,0
78226,2172,2172,471,337,46,187,359,353,419,0
78227,14756,14756,2771,1447,931,2623,2640,2237,2107,0
78228,15001,14995,2310,1413,631,2480,2844,2499,2818,6
78229,6776,6731,1384,1099,342,983,1105,846,972,45
78230,9479,9479,1712,1268,489,1370,1405,1446,1789,0
78231,2003,2003,188,104,46,509,327,380,449,0
78232,7609,7502,1468,888,268,1082,1083,1494,1219,107
78233,13102,13102,2497,1564,641,2349,1990,2260,1801,0
78234,1818,1818,368,247,60,428,309,188,218,0
78235,298,298,58,24,41,49,81,30,15,0
78236,979,979,161,106,78,188,141,154,151,0
78237,10656,10654,1437,1004,847,1506,2166,1843,1851,2
78238,6833,6833,1115,770,541,967,1089,1288,1063,0
78239,6769,6769,1131,739,591,1300,881,1039,1088,0
78240,13859,13831,2823,1965,1111,2103,2400,1797,1632,28
78242,11226,11209,1748,1198,669,1658,1856,2163,1917,17
78243,0,0,0,0,0,0,0,0,0,0
78244,8649,8649,1426,840,586,1387,1493,1321,1596,0
78245,23730,23729,4145,2711,1442,4045,3874,3879,3633,1
78247,13144,13132,2190,1712,809,2500,1936,1918,2067,12
78248,3369,3369,441,313,128,612,516,591,768,0
78249,11210,11147,2196,1243,585,1520,1768,1998,1837,63
78250,15659,15659,2314,1688,884,2605,2884,2734,2550,0
78251,16310,16310,2630,1781,946,2276,2812,3065,2800,0
78252,3507,3507,468,346,346,519,793,691,344,0
78253,13777,13776,2440,1804,642,2211,2519,2334,1826,1
78254,18150,18150,2757,1943,988,3065,3521,3263,2613,0
78255,4584,4584,570,566,310,1031,866,577,664,0
78256,2165,2165,285,208,192,464,201,314,501,0
78257,1388,1382,417,105,86,113,219,231,211,6
78258,12051,12051,1624,1080,554,2035,2125,2056,2577,0
78259,6918,6884,720,510,366,969,1372,1464,1483,34
78260,7950,7950,957,745,413,1326,1519,1547,1443,0
78261,4933,4933,844,676,256,680,984,601,892,0
78263,699,699,46,35,60,17,135,175,231,0
78264,3270,3270,427,322,188,275,468,832,758,0
78266,1708,1708,302,131,142,353,96,276,408,0
78330,281,281,82,53,0,30,16,59,41,0
78332,7720,7720,1227,757,390,1316,1333,1417,1280,0
78335,0,0,0,0,0,0,0,0,0,0
78336,2853,2848,594,328,135,385,419,580,407,5
78338,0,0,0,0,0,0,0,0,0,0
78339,35,35,0,0,0,24,0,0,11,0
78340,52,52,2,9,0,17,12,11,1,0
78341,497,497,51,91,5,52,129,92,77,0
78342,108,108,44,0,6,0,13,26,19,0
78343,1144,1144,187,125,67,161,208,168,228,0
78344,107,107,36,8,0,11,0,15,37,0
78349,96,96,0,18,0,46,20,0,12,0
78351,139,139,22,7,0,10,32,36,32,0
78352,210,210,27,0,0,47,73,46,17,0
78353,23,23,0,0,0,0,12,11,0,0
78355,1941,1941,434,174,104,346,271,290,322,0
78357,843,842,122,163,0,102,61,245,149,1
78358,60,60,0,0,0,0,0,37,23,0
78359,499,499,63,65,16,83,55,73,144,0
78361,1673,1673,263,257,43,299,132,383,296,0
78362,2848,2848,472,94,169,408,454,664,587,0
78363,7257,7233,1236,835,495,1057,1373,1081,1156,24
78368,2271,2271,360,238,98,371,455,302,447,0
78369,165,165,16,14,0,30,53,38,14,0
78370,1364,1364,199,189,118,170,251,175,262,0
78371,24,24,9,0,0,0,0,0,15,0
78372,2561,2561,360,297,249,300,416,429,510,0
78373,543,543,140,23,0,67,148,42,123,0
78374,5016,5009,606,678,221,839,987,709,969,7
78375,417,417,84,0,19,93,51,123,47,0
78376,127,127,33,25,5,5,19,20,20,0
78377,985,985,191,51,21,117,109,260,236,0
78379,259,259,44,8,6,23,33,34,111,0
78380,6930,6930,781,889,440,1293,1172,1279,1076,0
78382,3799,3799,642,311,47,924,753,429,693,0
78383,834,834,254,124,21,119,155,41,120,0
78384,1508,1508,41,322,72,289,349,291,144,0
78385,161,161,71,22,0,15,16,33,4,0
78387,2823,2817,488,366,245,321,579,494,324,6
78389,443,443,16,14,11,34,58,116,194,0
78390,1253,1253,174,164,38,185,227,284,181,0
78391,63,63,5,0,14,16,6,14,8,0
78393,441,441,37,55,72,31,154,48,44,0
78401,593,520,128,72,31,59,41,112,77,73
78402,14,14,0,0,0,0,0,0,14,0
78404,3672,3672,459,348,192,592,724,511,846,0
78405,3585,3572,470,420,180,652,716,507,627,13
78406,506,503,139,39,0,19,47,49,210,3
78407,683,683,123,41,19,98,125,155,122,0
78408,3488,3488,776,423,126,543,469,467,684,0
78409,705,705,137,59,39,87,123,179,81,0
78410,8088,8086,987,685,585,1531,1738,1210,1350,2
78411,5399,5399,912,573,247,950,771,884,1062,0
78412,9446,9364,1594,1612,478,1591,1493,1208,1388,82
78413,9722,9722,1871,1467,401,1465,1639,1379,1500,0
78414,10923,10923,1718,1395,630,1956,1904,1848,1472,0
78415,10802,10761,1663,1031,742,1603,2025,1764,1933,41
78416,4504,4504,615,498,186,716,841,829,819,0
78417,961,961,178,159,52,255,113,67,137,0
78418,7125,7125,877,529,205,1283,1193,1572,1466,0
78419,220,220,69,35,14,52,7,24,19,0
78501,15999,15985,2428,2017,686,3010,2457,2560,2827,14
78503,6702,6702,1316,639,275,1191,1041,1190,1050,0
78504,17245,17245,3080,1774,1023,2626,2676,3290,2776,0
78516,12961,12961,1756,1887,530,2116,2184,2194,2294,0
78520,18512,18422,2996,1932,880,3110,3009,3049,3446,90
78521,29137,29060,4951,3237,1386,4514,4486,5047,5439,77
78526,15305,15305,2582,1750,760,2520,2898,2354,2441,0
78535,115,115,0,19,0,15,24,24,33,0
78536,53,53,0,0,0,17,6,10,20,0
78537,17621,17621,2938,1910,841,2631,3309,2753,3239,0
78538,3447,3447,599,349,245,555,541,526,632,0
78539,10863,10863,1617,1292,672,1614,2381,1565,1722,0
78541,14410,14410,2334,1808,583,2486,2330,2558,2311,0
78542,27258,27210,4565,3150,1562,4449,4589,4829,4066,48
78543,2468,2468,220,234,147,476,509,579,303,0
78545,166,166,0,23,46,0,77,7,13,0
78548,205,205,33,17,22,36,21,32,44,0
78549,446,446,52,52,11,109,104,66,52,0
78550,17177,16522,2831,2326,1071,2661,2527,2934,2172,655
78552,10974,10974,1721,1179,631,1748,1949,1928,1818,0
78557,4395,4393,427,412,371,709,784,926,764,2
78558,280,280,30,60,32,31,94,33,0,0
78559,4126,4126,383,358,300,636,908,774,767,0
78560,1707,1707,219,202,43,338,298,361,246,0
78561,155,155,6,8,16,12,29,18,66,0
78562,1097,1097,191,145,68,138,175,172,208,0
78563,0,0,0,0,0,0,0,0,0,0
78564,124,124,0,16,34,74,0,0,0,0
78565,0,0,0,0,0,0,0,0,0,0
78566,5779,5616,922,721,418,797,909,895,954,163
78567,97,97,4,7,7,25,27,21,6,0
78569,902,902,113,54,29,144,197,181,184,0
78570,11813,11813,1711,1211,536,2140,1997,2231,1987,0
78572,24752,24751,3571,2898,1006,4253,4157,4552,4314,1
78573,13698,13698,1659,1906,713,2569,2142,2690,2019,0
78574,22625,22609,3119,2920,1049,3589,3804,4081,4047,16
78575,3915,3915,393,456,293,692,660,679,742,0
78576,4694,4694,579,725,212,901,871,731,675,0
78577,26939,26939,4664,3788,1271,4296,4209,4481,4230,0
78578,2671,2671,452,491,226,374,354,451,323,0
78579,1453,1453,230,267,58,201,185,191,321,0
78580,3613,3613,681,425,170,627,606,643,461,0
78582,14817,14812,2362,2023,1058,2457,2338,2157,2417,5
78583,1747,1747,212,5,218,319,367,311,315,0
78584,5838,5838,1289,585,276,992,805,1026,865,0
78585,103,103,0,16,5,11,16,22,33,0
78586,18184,18146,2567,1834,1050,3168,3133,3315,3079,38
78588,33,33,0,0,0,11,3,6,13,0
78589,13407,13407,2028,1826,895,1959,2145,2311,2243,0
78590,97,97,16,10,4,15,14,7,31,0
78591,85,85,0,20,0,21,15,16,13,0
78592,141,141,0,12,10,21,26,27,45,0
78593,1638,1638,271,174,79,144,290,391,289,0
78594,434,434,28,54,30,54,94,77,97,0
78595,2342,2342,547,196,73,300,387,289,550,0
78596,23116,23074,4175,2876,1065,4018,3709,3648,3583,42
78597,216,216,0,0,0,19,0,90,107,0
78598,0,0,0,0,0,0,0,0,0,0
78602,7003,6998,1034,691,450,1151,1033,1458,1181,5
78605,1390,1390,169,171,54,167,266,343,220,0
78606,1185,1185,133,129,16,256,166,281,204,0
78607,0,0,0,0,0,0,0,0,0,0
78608,50,50,0,0,0,0,0,28,22,0
78609,276,276,83,35,4,35,50,21,48,0
78610,10920,10911,1761,1085,988,1528,1995,2112,1442,9
78611,2707,2699,357,321,57,632,352,580,400,8
78612,4824,4824,586,364,212,757,1027,932,946,0
78613,23075,23075,2805,1918,935,3983,4789,4427,4218,0
78614,110,110,3,19,0,29,15,33,11,0
78615,278,278,48,20,17,54,59,73,7,0
78616,2873,2873,517,271,107,589,425,492,472,0
78617,8645,8644,1149,1165,201,1181,1355,1537,2056,1
78618,44,44,7,18,0,4,7,5,3,0
78619,1178,1162,137,126,50,159,73,394,223,16
78620,4412,4404,485,435,303,759,753,640,1029,8
78621,6286,6284,794,761,356,788,1411,990,1184,2
78622,42,42,0,0,0,10,18,10,4,0
78623,132,132,12,14,0,15,29,62,0,0
78624,4554,4554,406,754,112,682,842,890,868,0
78626,8574,8548,1193,1168,476,1486,1442,1606,1177,26
78628,8092,8092,1021,1253,400,1165,1192,1482,1579,0
78629,3447,3447,650,300,220,542,698,480,557,0
78631,825,825,113,40,6,225,134,206,101,0
78632,145,145,44,13,25,21,26,16,0,0
78633,2896,2896,332,235,118,343,661,613,594,0
78634,10068,10068,1951,1124,502,2044,1683,1373,1391,0
78635,141,141,38,0,0,82,0,0,21,0
78636,538,538,69,72,21,68,144,63,101,0
78638,485,485,50,89,40,53,51,107,95,0
78639,1406,1406,237,107,67,197,154,427,217,0
78640,16969,16969,2756,2129,925,2966,3076,2591,2526,0
78641,21348,21348,3611,2413,1109,3516,3667,3823,3209,0
78642,3228,3105,411,392,257,574,404,545,522,123
78643,1119,1119,218,78,45,182,291,127,178,0
78644,4075,3940,505,263,193,691,702,819,767,135
78645,2385,2385,471,82,132,191,633,444,432,0
78648,1737,1737,566,136,255,203,121,176,280,0
78650,360,360,85,24,20,78,57,73,23,0
78652,776,776,128,90,24,130,212,81,111,0
78653,8094,8094,1047,1019,490,1630,1221,1654,1033,0
78654,4034,4034,564,426,142,735,581,680,906,0
78655,616,616,139,54,62,95,88,120,58,0
78656,611,611,168,55,25,133,113,29,88,0
78657,814,814,61,95,57,73,134,136,258,0
78659,506,506,51,61,7,47,137,106,97,0
78660,24708,24706,3849,2463,1026,3806,4495,4524,4543,2
78661,91,91,0,11,0,0,42,25,13,0
78662,349,349,63,69,15,26,40,81,55,0
78663,134,134,4,2,0,91,0,8,29,0
78664,16817,16662,2370,2027,797,2585,2851,2430,3602,155
78665,14294,14293,2104,1580,767,2550,2530,2762,2000,1
78666,13376,12801,1877,1714,573,2001,2377,1935,2324,575
78669,3034,3034,502,315,125,389,633,635,435,0
78670,15,15,0,4,0,0,6,0,5,0
78671,92,92,8,13,7,10,36,7,11,0
78672,155,155,8,0,45,58,8,23,13,0
78675,24,24,0,0,0,0,16,5,3,0
78676,2326,2326,170,208,23,334,360,647,584,0
78677,6,6,0,0,0,0,0,6,0,0
78681,17182,17182,1548,1511,824,3072,3094,3689,3444,0
78701,191,161,59,22,0,9,17,36,18,30
78702,3864,3860,941,527,328,730,588,294,452,4
78703,3885,3869,792,469,241,634,717,638,378,16
78704,6238,6178,1652,779,354,1029,861,791,712,60
78705,816,674,192,29,34,99,153,93,74,142
78712,9,0,0,0,0,0,0,0,0,9
78717,9258,9258,1224,1044,333,1554,1923,1653,1527,0
78719,343,343,9,7,20,59,58,92,98,0
78721,2228,2190,380,160,64,243,336,620,387,38
78722,974,974,213,202,43,173,214,83,46,0
78723,8045,8035,1651,1144,492,1538,1180,1134,896,10
78724,8776,8776,1284,1210,553,1459,1497,1317,1456,0
78725,2364,2364,405,231,90,338,514,352,434,0
78726,3046,3046,438,233,94,599,560,675,447,0
78727,5502,5502,1460,802,260,865,772,536,807,0
78728,4540,4539,1183,549,157,681,1040,384,545,1
78729,5185,5185,1279,634,240,965,800,549,718,0
78730,2265,2265,186,162,260,304,372,490,491,0
78731,5401,5398,899,671,233,993,873,961,768,3
78732,5983,5983,511,491,149,788,855,1633,1556,0
78733,2812,2812,139,398,74,530,633,414,624,0
78734,4500,4500,521,246,164,869,826,907,967,0
78735,4428,4428,668,539,403,808,739,637,634,0
78736,2119,2119,288,321,138,482,540,144,206,0
78737,5371,5358,796,527,330,873,985,1063,784,13
78738,4314,4314,378,270,140,730,879,971,946,0
78739,6769,6769,879,663,625,1251,1350,955,1046,0
78741,8862,8857,2035,1043,383,1421,1462,1425,1088,5
78742,248,248,46,31,21,32,41,36,41,0
78744,14433,14433,2352,1797,737,2384,2325,2769,2069,0
78745,9888,9860,2335,1192,867,1476,1510,1496,984,28
78746,7169,7150,678,475,276,1214,1426,1585,1496,19
78747,5033,5033,771,397,236,926,972,792,939,0
78748,11391,11391,2528,1585,433,2138,1653,1330,1724,0
78749,8177,8177,1127,1000,596,1696,1263,1306,1189,0
78750,7497,7497,1007,695,388,1211,1592,1238,1366,0
78751,1510,1499,455,171,52,168,213,243,197,11
78752,4295,4285,713,616,291,654,659,591,761,10
78753,15091,15091,2736,2104,940,2713,2259,2107,2232,0
78754,7445,7445,1845,969,481,1615,887,849,799,0
78756,1201,1143,207,118,80,204,190,226,118,58
78757,5562,5561,1086,836,451,877,868,721,722,1
78758,10374,10346,2645,1372,481,1785,1692,1311,1060,28
78759,7668,7666,1442,926,442,1091,1218,1381,1166,2
78801,6103,6103,1070,618,209,929,827,1388,1062,0
78802,0,0,0,0,0,0,0,0,0,0
78827,301,299,38,27,0,130,28,31,45,2
78828,0,0,0,0,0,0,0,0,0,0
78829,444,444,75,63,65,103,58,57,23,0
78830,196,196,10,36,9,42,16,37,46,0
78832,470,470,62,38,13,79,48,100,130,0
78833,180,180,96,6,0,21,30,22,5,0
78834,2563,2563,363,277,146,240,799,382,356,0
78836,9,9,0,0,0,0,9,0,0,0
78837,49,49,16,0,0,0,8,11,14,0
78838,0,0,0,0,0,0,0,0,0,0
78839,2621,2621,366,319,119,537,188,611,481,0
78840,13895,13895,2378,1738,600,1815,2653,2402,2309,0
78843,0,0,0,0,0,0,0,0,0,0
78850,273,273,10,23,3,51,78,40,68,0
78851,0,0,0,0,0,0,0,0,0,0
78852,18034,18034,3099,2214,690,3038,3149,2723,3121,0
78860,0,0,0,0,0,0,0,0,0,0
78861,3063,3063,367,377,194,586,447,611,481,0
78870,338,338,82,73,8,27,17,33,98,0
78871,0,0,0,0,0,0,0,0,0,0
78872,491,491,49,18,5,188,52,122,57,0
78873,707,693,52,60,39,179,6,215,142,14
78877,191,191,122,16,13,13,0,11,16,0
78879,0,0,0,0,0,0,0,0,0,0
78880,284,284,0,82,24,97,42,13,26,0
78881,642,642,57,59,32,161,31,232,70,0
78883,39,39,0,13,0,8,0,0,18,0
78884,278,278,17,0,33,52,46,64,66,0
78885,7,7,0,0,0,0,0,0,7,0
78886,54,54,12,6,5,5,5,15,6,0
78931,112,112,0,0,0,40,43,0,29,0
78932,49,49,1,3,1,9,18,5,12,0
78933,313,313,117,0,0,82,59,44,11,0
78934,1716,1716,500,118,51,294,370,245,138,0
78935,209,209,33,59,5,32,11,0,69,0
78938,66,66,25,2,13,13,4,0,9,0
78940,424,424,35,54,10,84,53,104,84,0
78941,467,455,42,54,18,102,46,54,139,12
78942,2237,2054,230,368,66,332,425,336,297,183
78943,37,37,18,19,0,0,0,0,0,0
78944,48,48,0,0,0,6,5,9,28,0
78945,2395,2395,273,372,102,406,488,390,364,0
78946,105,105,0,5,6,36,35,0,23,0
78947,1050,1050,227,114,42,177,154,160,176,0
78948,57,57,0,0,0,14,0,18,25,0
78949,180,180,71,5,34,34,12,10,14,0
78950,285,268,40,8,10,40,76,46,48,17
78951,0,0,0,0,0,0,0,0,0,0
78953,56,56,28,28,0,0,0,0,0,0
78954,122,122,6,12,7,3,15,35,44,0
78956,1193,1193,90,151,105,165,197,308,177,0
78957,2181,2181,380,271,76,455,369,277,353,0
78959,402,402,51,52,18,34,40,128,79,0
78962,1111,1111,204,91,50,158,168,201,239,0
78963,363,363,26,14,59,62,118,41,43,0
79001,31,31,1,6,2,7,1,6,8,0
79003,36,36,6,0,0,2,14,12,2,0
79005,391,391,97,75,18,44,39,87,31,0
79007,3814,3814,682,388,294,635,590,601,624,0
79009,460,460,99,48,33,53,82,33,112,0
79010,562,154,3,14,4,23,27,58,25,408
