zip,under_18_years,households,under_3_years,3_to_4_years,5_years,6_to_8_years,9_to_11_years,12_to_14_years,15_to_17_years,group_quarters
75601,3611,3584,480,396,194,606,622,610,676,27
75602,6075,6074,1067,627,361,1020,1007,1149,843,1
75603,1534,1534,203,197,56,266,228,277,307,0
75604,8987,8979,1580,965,966,1174,1414,1214,1666,8
75605,6902,6870,1311,578,346,1089,1342,1389,815,32
75630,341,341,76,43,19,42,55,63,43,0
75631,923,923,143,111,41,179,103,153,193,0
75633,2994,2983,493,188,171,405,380,872,474,11
75638,1183,1183,144,98,47,194,142,323,235,0
75639,658,658,93,155,16,35,126,132,101,0
75640,1371,1371,161,178,28,138,314,330,222,0
75641,11,11,0,0,0,0,8,0,3,0
75642,4,4,0,0,0,0,0,0,4,0
75643,555,555,75,76,38,92,77,111,86,0
75644,3759,3759,505,462,209,780,658,635,510,0
75645,2333,2333,288,121,77,536,449,322,540,0
75647,3164,3161,424,523,119,472,502,781,340,3
75650,2760,2760,285,258,140,545,540,489,503,0
75651,486,486,62,0,0,132,72,100,120,0
75652,3130,3130,335,336,244,535,467,513,700,0
75654,3457,3457,833,331,195,597,635,453,413,0
75656,1103,1103,131,59,53,229,177,134,320,0
75657,1283,1283,261,94,78,193,241,203,213,0
75661,458,458,17,12,0,95,70,116,148,0
75662,6181,6176,1357,755,374,882,875,1005,928,5
75667,290,290,38,23,5,87,66,18,53,0
75668,657,657,152,30,18,90,158,46,163,0
75669,137,137,0,0,0,26,47,42,22,0
75670,4902,4847,1117,568,293,656,820,845,548,55
75672,3783,3738,492,378,238,518,608,672,832,45
75681,318,318,34,25,16,74,53,44,72,0
75682,167,167,14,5,0,43,13,58,34,0
75683,828,828,124,66,37,130,120,201,150,0
75684,1854,1854,186,155,159,315,405,330,304,0
75686,3415,3410,646,258,233,580,536,595,562,5
75691,1283,1283,233,192,16,194,226,263,159,0
75692,1011,1011,44,63,81,187,167,277,192,0
75693,1809,1809,182,321,42,447,310,209,298,0
75701,7689,7689,1444,1103,407,1292,1195,1176,1072,0
75702,7814,7751,1250,1262,496,1200,1215,1110,1218,63
75703,9634,9587,1765,1210,587,1539,1633,1392,1461,47
75704,2595,2579,355,196,246,449,464,390,479,16
75705,629,629,68,0,71,182,191,60,57,0
75706,2963,2963,347,460,124,557,401,677,397,0
75707,3450,3392,506,245,222,595,518,622,684,58
75708,2443,2443,425,309,174,366,289,510,370,0
75709,824,824,96,40,60,109,189,122,208,0
75750,654,654,84,143,21,127,95,107,77,0
75751,4774,4774,919,464,241,740,652,1021,737,0
75752,1186,1186,160,184,27,162,329,132,192,0
75754,1197,1197,146,102,66,174,212,170,327,0
75755,1060,1060,243,52,39,154,109,222,241,0
75756,1211,1211,275,78,86,72,286,221,193,0
75757,3326,3326,362,278,76,641,481,738,750,0
75758,1507,1507,212,137,151,226,229,392,160,0
75759,10,10,0,0,0,6,0,0,4,0
75760,432,432,11,24,49,127,77,75,69,0
75762,3422,3422,527,504,183,682,545,351,630,0
75763,1302,1302,287,110,34,120,314,216,221,0
75764,39,39,9,0,0,3,7,16,4,0
75765,958,958,169,80,22,134,150,189,214,0
75766,7429,7429,1148,1153,325,1215,1320,1146,1122,0
75770,601,601,109,73,42,80,95,81,121,0
75771,4887,4887,577,533,432,896,736,918,795,0
75773,3156,3156,478,336,156,514,470,698,504,0
75778,636,636,138,67,33,98,89,124,87,0
75779,55,55,11,20,14,0,10,0,0,0
75780,41,41,6,5,5,6,3,6,10,0
75783,1654,1654,201,187,216,359,205,137,349,0
75784,192,192,37,17,21,32,15,11,59,0
75785,2466,2422,407,209,65,404,469,384,484,44
75788,0,0,0,0,0,0,0,0,0,0
75789,2077,2077,294,224,113,391,364,366,325,0
75790,1058,1058,84,67,31,272,214,151,239,0
75791,3603,3603,564,202,289,349,447,877,875,0
75792,720,720,162,22,3,127,33,214,159,0
75801,4204,4204,582,607,157,684,761,765,648,0
75803,3976,3976,426,610,173,956,646,438,727,0
75831,1388,1388,220,159,65,187,242,249,266,0
75832,10,10,0,0,0,0,0,0,10,0
75833,644,644,74,25,54,133,66,188,104,0
75835,2565,2497,598,163,184,430,451,343,328,68
75838,212,212,0,0,22,29,18,44,99,0
75839,1638,1638,200,183,40,253,204,407,351,0
75840,1670,1668,301,130,87,280,284,173,413,2
75844,1162,1162,213,68,104,141,311,69,256,0
75845,565,564,56,45,26,122,85,129,101,1
75846,762,762,155,95,61,200,114,77,60,0
75847,419,419,16,60,8,67,93,95,80,0
75848,40,40,11,11,0,4,0,8,6,0
75849,14,13,0,3,0,0,0,0,10,1
75850,179,179,11,0,10,24,8,71,55,0
75851,508,493,16,34,37,129,96,97,84,15
75852,231,189,15,49,10,15,24,59,17,42
75853,15,15,0,0,0,0,7,8,0,0
75855,576,569,84,91,25,85,163,99,22,7
75856,17,17,17,0,0,0,0,0,0,0
75858,0,0,0,0,0,0,0,0,0,0
75859,223,223,21,28,0,68,25,61,20,0
75860,1376,1376,175,214,58,307,250,136,236,0
75861,434,434,28,113,22,66,93,50,62,0
75862,2144,2144,311,207,190,428,349,337,322,0
75901,7773,7745,1293,760,363,1360,1553,1388,1028,28
75904,9481,9469,1377,1038,526,1635,1464,1557,1872,12
75925,1088,1088,149,79,0,303,162,190,205,0
75926,249,249,45,49,11,21,40,32,51,0
75928,155,155,9,28,0,54,0,41,23,0
75929,313,313,51,55,15,15,54,57,66,0
75930,317,317,21,13,15,24,74,114,56,0
75931,421,421,25,5,35,19,164,120,53,0
75932,334,334,28,35,0,150,66,19,36,0
75933,194,194,15,40,0,58,0,51,30,0
75934,44,44,9,25,0,0,10,0,0,0
75935,4045,4045,580,505,175,704,706,654,721,0
75936,288,288,7,34,6,63,61,46,71,0
75937,178,178,9,23,13,25,30,40,38,0
75938,496,496,84,21,11,70,102,96,112,0
75939,1313,1313,231,75,45,208,185,313,256,0
75941,2136,2136,401,246,138,307,354,322,368,0
75942,109,109,44,0,0,0,65,0,0,0
75943,406,406,13,19,21,86,89,74,104,0
75944,151,151,37,5,24,14,14,8,49,0
75946,948,948,96,115,71,192,142,107,225,0
75948,1042,1042,334,55,55,203,164,109,122,0
75949,1875,1875,484,97,154,355,330,181,274,0
75951,4050,4050,623,478,327,522,688,765,647,0
75954,442,442,53,31,2,94,71,70,121,0
75956,2151,2151,278,176,186,441,344,368,358,0
75959,239,239,0,0,0,0,13,180,46,0
75960,230,230,0,0,0,93,86,33,18,0
75961,3864,3841,708,436,120,589,734,714,540,23
75962,5,0,0,0,0,0,0,0,0,5
75964,6061,6061,995,732,399,1154,1219,764,798,0
75965,3249,3240,585,448,243,502,419,422,621,9
75966,1193,1193,207,90,75,219,84,286,232,0
75968,374,374,33,35,26,16,44,93,127,0
75969,653,653,14,37,0,129,90,225,158,0
75972,1293,1293,188,150,89,90,161,356,259,0
75973,603,603,68,49,52,80,136,164,54,0
75974,762,762,114,164,43,69,150,138,84,0
75975,1017,1017,163,96,18,208,126,186,220,0
75976,255,255,52,48,20,47,34,24,30,0
75977,26,26,0,0,7,12,0,7,0,0
75978,45,45,13,0,0,7,0,16,9,0
75979,2136,2101,325,161,85,425,419,322,364,35
75980,554,554,67,67,14,86,81,112,127,0
76001,9628,9622,1262,932,397,1262,1835,1618,2316,6
76002,10568,10568,1546,1043,460,1648,2119,1982,1770,0
76006,5141,5141,1166,817,302,739,709,734,674,0
76008,5890,5890,632,464,279,1051,1271,1169,1024,0
76009,5880,5880,887,457,396,1071,1153,986,930,0
76010,19135,19120,3166,2184,1220,3175,3544,3108,2723,15
76011,5175,5163,1308,496,396,962,679,829,493,12
76012,5362,5362,894,424,285,623,1055,1155,926,0
76013,7268,7263,1315,664,360,1676,1172,1139,937,5
76014,9781,9772,1317,846,680,1987,1816,1658,1468,9
76015,3744,3743,764,472,210,556,598,615,528,1
76016,6807,6802,851,362,192,1009,1556,1339,1493,5
76017,11061,11051,1513,1213,590,1612,1703,2068,2352,10
76018,8428,8426,1331,683,287,1725,1291,1245,1864,2
76020,6444,6441,1155,788,329,954,1126,950,1139,3
76021,7389,7389,1000,1082,334,1049,1186,1433,1305,0
76022,2885,2885,558,227,194,617,594,355,340,0
76023,1468,1468,282,193,68,162,225,258,280,0
76028,18890,18882,3153,1957,950,3038,3521,2974,3289,8
76031,4491,4491,529,587,311,847,808,730,679,0
76033,6319,6319,1113,697,352,781,1018,1168,1190,0
76034,6190,6190,721,560,254,1144,1157,1127,1227,0
76035,402,402,30,8,2,35,83,126,118,0
76036,7260,7260,990,643,313,1045,1250,1655,1364,0
76039,7851,7851,1196,857,508,1386,1367,1496,1041,0
76040,8345,8345,1493,842,407,1568,1382,1528,1125,0
76041,67,67,0,3,3,19,12,20,10,0
76043,1742,1721,298,123,106,240,356,351,247,21
76044,927,923,95,80,38,98,228,127,257,4
76048,5504,5440,683,699,285,908,1027,840,998,64
76049,5837,5837,915,807,455,977,799,825,1059,0
76050,1427,1427,163,193,20,231,271,286,263,0
76051,12130,12128,1634,1047,607,1889,2565,2231,2155,2
76052,6422,6422,430,669,497,1383,1333,1036,1074,0
76053,8321,8321,1636,1042,613,1123,1547,1151,1209,0
76054,2862,2862,315,282,108,506,553,627,471,0
76055,627,589,69,81,34,91,94,140,80,38
76058,5926,5926,829,607,371,848,1132,1160,979,0
76059,1270,1270,144,127,20,242,216,291,230,0
76060,2183,2183,339,303,96,188,361,522,374,0
76061,0,0,0,0,0,0,0,0,0,0
76063,21370,21355,2172,2147,1081,3460,3990,4114,4391,15
76064,628,628,192,45,32,142,57,91,69,0
76065,10165,10165,1510,902,328,1643,1713,2266,1803,0
76066,301,301,102,34,2,24,67,27,45,0
76067,4954,4952,531,776,268,936,823,801,817,2
76070,228,228,27,0,0,0,4,145,52,0
76071,1224,1224,274,70,70,168,187,267,188,0
76073,1469,1469,102,113,96,256,211,342,349,0
76077,31,0,0,0,0,0,0,0,0,31
76078,2982,2982,402,337,195,519,585,537,407,0
76082,4930,4930,728,545,132,862,794,950,919,0
76084,2374,2374,357,263,120,380,419,397,438,0
76085,2694,2694,299,157,146,378,474,479,761,0
76086,5842,5826,973,875,244,902,1162,779,891,16
76087,6758,6758,1057,536,309,1272,1448,1140,996,0
76088,2767,2752,371,362,230,553,407,351,478,15
76092,10168,10168,853,762,456,1520,1920,2056,2601,0
76093,392,392,45,39,32,45,123,42,66,0
76102,1195,931,225,106,57,192,131,129,91,264
76103,3768,3697,789,555,182,446,593,548,584,71
76104,5635,5621,946,784,225,912,851,983,920,14
76105,7280,7264,1097,1034,441,1166,1151,1259,1116,16
76106,12785,12777,2135,1466,1053,2114,1941,2194,1874,8
76107,5231,5231,862,578,202,550,692,1205,1142,0
76108,11522,11522,2150,1388,573,1619,2080,1688,2024,0
76109,4292,4292,895,517,242,623,686,779,550,0
76110,8395,8395,1492,942,672,1373,1371,1310,1235,0
76111,6687,6624,941,699,375,1309,971,1151,1178,63
76112,10952,10951,1980,1294,531,1796,1937,1887,1526,1
76114,7019,7017,993,697,403,1005,1224,1296,1399,2
76115,7029,7029,1334,892,424,1124,1185,1167,903,0
76116,11731,11714,2300,1596,499,1805,1707,1811,1996,17
76117,8549,8549,1464,776,372,1211,1595,1668,1463,0
76118,4295,4295,720,533,226,686,617,819,694,0
76119,16623,16623,2655,1797,832,3053,3235,2613,2438,0
76120,4683,4683,765,432,322,827,732,917,688,0
76123,10870,10870,1621,876,487,2034,2221,1672,1959,0
76126,6058,6053,1094,682,468,1251,947,1095,516,5
76127,42,42,0,10,0,0,9,11,12,0
76129,0,0,0,0,0,0,0,0,0,0
76131,14087,14087,2203,1601,1034,2313,2365,2588,1983,0
76132,5691,5684,1484,747,404,974,921,541,613,7
76133,13271,13264,2213,1436,648,1951,2431,2081,2504,7
76134,7351,7351,1432,1031,658,1409,912,757,1152,0
76135,5591,5591,1066,626,247,1035,853,963,801,0
76137,16413,16413,2746,1917,716,2542,2648,2753,3091,0
76140,9114,9114,1461,823,496,1476,1398,1645,1815,0
76148,5778,5778,926,690,228,972,1035,914,1013,0
76155,936,936,225,223,29,173,186,60,40,0
76164,4006,4005,706,423,314,760,772,570,460,1
76177,3210,3210,763,444,298,617,561,295,232,0
76179,20099,20099,3437,2240,978,3497,2975,3615,3357,0
76180,8628,8628,1545,1019,565,1161,1691,1722,925,0
76182,7252,7252,952,702,370,1226,1169,1343,1490,0
76201,2211,1823,275,145,97,377,228,248,453,388
76205,3460,3410,732,316,191,580,398,599,594,50
76207,3071,3046,709,325,138,553,394,472,455,25
76208,6435,6435,1106,1016,159,1349,795,1090,920,0
76209,6051,6051,1157,866,491,855,992,834,856,0
76210,10661,10423,1459,971,653,1848,1738,1847,1907,238
76225,639,639,70,165,49,81,83,82,109,0
76226,7585,7585,866,682,354,1356,1514,1296,1517,0
76227,10359,10359,1692,996,705,1839,2187,1533,1407,0
76228,233,233,13,18,15,26,45,71,45,0
76230,2199,2199,262,118,138,396,687,336,262,0
76233,899,899,116,111,42,141,133,190,166,0
76234,4427,4427,660,549,295,605,669,876,773,0
76238,46,46,5,4,0,4,5,3,25,0
76239,198,198,28,31,0,15,26,46,52,0
76240,6850,6702,1241,843,309,997,1334,904,1074,148
